Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brunei Darussalam,BRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14162413938,15094182874,16172904606,16608130559,17495082541,18659869331,19547410417,19589467241,19691466873,20603021669,21672273337,22774411459,24019411800,25209794212,26033626781,26975422918,29026929721,29845498470,29840677844,29536750160,30674522788,32480415591,33380677923,33198634079,33000357671,33169145012,32764093389,33796810143,
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807467719.9,830941297.3,888985219.8,928215150.1,994907511.9,1087506908,1168986422,1252888267,1341385647,1470647931,1608393322,1780002948,2001215501,2197559185,2391126003,2643853103,2911729974,3525063410,3765596226,4046781423,4576726814,5039821055,5392970630,5597477745,6025306502,6495343835,7105922214,7568639314,
Botswana,BWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7070649982,7850930592,8264134253,8622876836,9125871296,9971175068,10745115703,11838956930,12020535101,13384325215,13960981649,14314918374,15416856501,16451665818,17361433963,18736615834,20927506707,23262675905,25200354689,23448680620,25767655009,27890347799,29669836660,33568936355,35589246786,35364352680,37361145517,38931009746,
Central African Republic,CAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757673501,1806142729,1728641728,1775704245,1902353859,2081857912,2035066837,2179600301,2306810649,2426427731,2419862784,2585511754,2720144140,2624638305,2858479090,2977250946,3215131287,3452777499,3592823447,3681984913,3840501514,4049174940,4293364857,2761593076,2840391196,3009007332,3185482487,3382237785,
Canada,CAN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58817E+11,5.65143E+11,5.8313E+11,6.12856E+11,6.54022E+11,6.85541E+11,7.09302E+11,7.52319E+11,7.90003E+11,8.43507E+11,8.98025E+11,9.34754E+11,9.67559E+11,1.01962E+12,1.07999E+12,1.16758E+12,1.238E+12,1.29716E+12,1.33906E+12,1.30449E+12,1.36114E+12,1.42747E+12,1.46457E+12,1.55027E+12,1.61756E+12,1.59983E+12,1.62536E+12,1.71445E+12,
Central Europe and the Baltics,CEB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62597E+11,7.12216E+11,7.15615E+11,7.44601E+11,7.91903E+11,8.55319E+11,9.08234E+11,9.50494E+11,9.91773E+11,1.0234E+12,1.08523E+12,1.16299E+12,1.24212E+12,1.31732E+12,1.43316E+12,1.51708E+12,1.68205E+12,1.86862E+12,2.06181E+12,2.05787E+12,2.1655E+12,2.30575E+12,2.38489E+12,2.48483E+12,2.58379E+12,2.67147E+12,2.79101E+12,2.97826E+12,
Switzerland,CHE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85409E+11,1.89826E+11,1.94068E+11,1.98435E+11,2.05231E+11,2.10519E+11,2.15942E+11,2.25412E+11,2.3386E+11,2.41567E+11,2.56829E+11,2.66121E+11,2.74769E+11,2.7676E+11,2.89555E+11,3.01741E+11,3.37617E+11,3.75576E+11,4.02151E+11,4.00819E+11,4.15654E+11,4.44549E+11,4.62615E+11,4.86239E+11,5.06895E+11,5.2716E+11,5.34903E+11,5.47854E+11,
Channel Islands,CHI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59683808378,66577956636,76846378530,85014003752,92699651308,1.0531E+11,1.16402E+11,1.27188E+11,1.34129E+11,1.3562E+11,1.46095E+11,1.5436E+11,1.61599E+11,1.71564E+11,1.88991E+11,2.06274E+11,2.57426E+11,2.79893E+11,2.75777E+11,2.73078E+11,3.10389E+11,3.50575E+11,3.74242E+11,3.94292E+11,4.04733E+11,4.04737E+11,4.20457E+11,4.44778E+11,
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11994E+12,1.26477E+12,1.4775E+12,1.72242E+12,1.98867E+12,2.25244E+12,2.52127E+12,2.80114E+12,3.05346E+12,3.33789E+12,3.70374E+12,4.10407E+12,4.54755E+12,5.10371E+12,5.77428E+12,6.63927E+12,7.71367E+12,9.04594E+12,1.01138E+13,1.11485E+13,1.2485E+13,1.39579E+13,1.53318E+13,1.6788E+13,1.83364E+13,1.98143E+13,2.14115E+13,2.33008E+13,
